sweep,summary_path,repeat,model,method_group,run_name,selection_method,selection_preconditioner,training_optimizer,training_mode,seed,safe_rho,safe_epsilon,selected_predicted_fisher_cost,selected_predicted_norm_cost,medqa_accuracy,target_medqa_accuracy,target_delta_medqa_accuracy,reference_medical_reference_primary_score,reference_delta_medical_reference_primary_score,reference_bbq_accuracy,reference_delta_bbq_accuracy,reference_truthfulqa_exact_match,reference_delta_truthfulqa_exact_match,reference_truthfulqa_token_f1,reference_delta_truthfulqa_token_f1,ood_mcq_ood_accuracy,ood_delta_mcq_ood_accuracy,extra_eval_mmlu_non_medical_mmlu_accuracy,extra_eval_delta_mmlu_non_medical_mmlu_accuracy,extra_eval_ifeval_ifeval_proxy_instruction_accuracy,extra_eval_delta_ifeval_ifeval_proxy_instruction_accuracy,extra_eval_bbq_bbq_accuracy,extra_eval_delta_bbq_bbq_accuracy,extra_eval_truthfulqa_truthfulqa_token_f1,extra_eval_delta_truthfulqa_truthfulqa_token_f1,extra_eval_bbq_heldout_kl,extra_eval_truthfulqa_heldout_kl,extra_eval_mmlu_non_medical_heldout_kl,final_validation_loss,final_test_loss,train_wallclock_seconds,estimated_selection_feature_flops,estimated_selector_algorithm_flops,estimated_external_solver_flops,estimated_selection_flops,estimated_sft_flops,estimated_total_flops,estimated_total_flops_including_selection,flops_accounting_complete,all_cumulative_norm_constraints_satisfied,all_cumulative_reference_constraints_satisfied,all_incremental_norm_constraints_satisfied,all_incremental_reference_constraints_satisfied,trajectory_correlations
setting_2_medqa_medmcqa_full_sft_solver_sweep_v1,setting_2_medqa_medmcqa_full_sft_solver_sweep_v1/repeat_00/olmo7b_instruct/KR64_KT16/pct25.6/safe_hard_feasible_full_sft_gamma0.01_epsm0.5/training_runs/safe_low_rank_adam_reference_constrained_greedy_eta0.0002_refreference_ac853aff3da5_metricFplusAlpha_swaps1_feastol1e-06_gamma0.01_epsm0.5_caln64_calseed42_pct25.6_seed42/summary.json,repeat_00,olmo7b_instruct,safe_hard_feasible_full_sft_gamma0.01_epsm0.5,safe_low_rank_adam_reference_constrained_greedy_eta0.0002_refreference_ac853aff3da5_metricFplusAlpha_swaps1_feastol1e-06_gamma0.01_epsm0.5_caln64_calseed42_pct25.6_seed42,safe_low_rank_adam_reference_constrained_greedy_eta0.0002_refreference_ac853aff3da5_metricFplusAlpha_swaps1_feastol1e-06_gamma0.01_epsm0.5_caln64_calseed42,adam,adamw,full,42,0.015283054962392304,0.1047182373046875,0.013219047337770462,0.00018113885016646236,0.40234375,0.40234375,-0.00390625,0.37202530352654695,-0.039972654727505,0.5157894736842106,-0.05263157894736836,0.010101010101010102,0.0,0.22826113336888335,-0.027313730507641604,0.5078125,0.02734375,0.484375,0.02734375,0.5791666666666667,0.01666666666666672,0.5078740157480315,-0.055118110236220486,0.2271882431179113,-0.03408730629090556,1.1336701068711855e-08,7.008110345378787e-09,1.154647340702771e-08,0.545198683700533,0.5295201912185782,244.43565180100268,1.2194647446336307e+17,1867793520.0,0.0,1.2194647633115659e+17,21770477568.0,1.001657180688384e+16,1.3196304813804043e+17,True,,,,,
setting_2_medqa_medmcqa_full_sft_solver_sweep_v1,setting_2_medqa_medmcqa_full_sft_solver_sweep_v1/repeat_00/olmo7b_instruct/KR64_KT16/pct25.6/safe_hard_feasible_full_sft_gamma1_epsm1/training_runs/safe_low_rank_adam_reference_constrained_greedy_eta0.0002_refreference_ac853aff3da5_metricFplusAlpha_swaps1_feastol1e-06_gamma1_epsm1_caln64_calseed42_pct25.6_seed42/summary.json,repeat_00,olmo7b_instruct,safe_hard_feasible_full_sft_gamma1_epsm1,safe_low_rank_adam_reference_constrained_greedy_eta0.0002_refreference_ac853aff3da5_metricFplusAlpha_swaps1_feastol1e-06_gamma1_epsm1_caln64_calseed42_pct25.6_seed42,safe_low_rank_adam_reference_constrained_greedy_eta0.0002_refreference_ac853aff3da5_metricFplusAlpha_swaps1_feastol1e-06_gamma1_epsm1_caln64_calseed42,adam,adamw,full,42,6.113221984956922,0.209436474609375,5.104329586029053,0.019076688215136528,0.42578125,0.42578125,,0.36757806593748743,,0.6210526315789474,,0.010101010101010102,,0.11410350029602745,,0.55859375,,0.4921875,,0.5666666666666667,,0.6062992125984252,,0.10276587305930664,,2.2223656709006347e-09,5.116605124422834e-09,4.5370172063741165e-09,0.6939449194163807,0.676665057685063,2539.983100553043,1.2194647446336307e+17,1867793520.0,0.0,1.2194647633115659e+17,271986720768.0,1.001682202312704e+16,1.3196329835428363e+17,True,,,,,
setting_2_medqa_medmcqa_full_sft_solver_sweep_v1,setting_2_medqa_medmcqa_full_sft_solver_sweep_v1/repeat_00/olmo7b_instruct/KR64_KT16/pct25.6/safe_hard_feasible_full_sft_gamma0.1_epsm2/training_runs/safe_low_rank_adam_reference_constrained_greedy_eta0.0002_refreference_ac853aff3da5_metricFplusAlpha_swaps1_feastol1e-06_gamma0.1_epsm2_caln64_calseed42_pct25.6_seed42/summary.json,repeat_00,olmo7b_instruct,safe_hard_feasible_full_sft_gamma0.1_epsm2,safe_low_rank_adam_reference_constrained_greedy_eta0.0002_refreference_ac853aff3da5_metricFplusAlpha_swaps1_feastol1e-06_gamma0.1_epsm2_caln64_calseed42_pct25.6_seed42,safe_low_rank_adam_reference_constrained_greedy_eta0.0002_refreference_ac853aff3da5_metricFplusAlpha_swaps1_feastol1e-06_gamma0.1_epsm2_caln64_calseed42,adam,adamw,full,42,2.4452887939827685,0.41887294921875,2.4165942668914795,0.01039328146725893,0.390625,0.390625,,0.35070770348094676,,0.6,,0.010101010101010102,,0.10141540696189351,,0.5390625,,0.5,,0.5833333333333334,,0.5708661417322834,,0.09820756611862932,,5.406293720078747e-09,5.071271728373346e-09,8.803660763353113e-09,1.172565311200461,1.0963559885639187,1546.5753550530062,1.2194647446336307e+17,1867793520.0,0.0,1.2194647633115659e+17,157589471232.0,1.0016707625877504e+16,1.319631839570341e+17,True,,,,,
setting_2_medqa_medmcqa_full_sft_solver_sweep_v1,setting_2_medqa_medmcqa_full_sft_solver_sweep_v1/repeat_00/olmo7b_instruct/KR64_KT16/pct25.6/safe_hard_feasible_full_sft_gamma1_epsm0.5/training_runs/safe_low_rank_adam_reference_constrained_greedy_eta0.0002_refreference_ac853aff3da5_metricFplusAlpha_swaps1_feastol1e-06_gamma1_epsm0.5_caln64_calseed42_pct25.6_seed42/summary.json,repeat_00,olmo7b_instruct,safe_hard_feasible_full_sft_gamma1_epsm0.5,safe_low_rank_adam_reference_constrained_greedy_eta0.0002_refreference_ac853aff3da5_metricFplusAlpha_swaps1_feastol1e-06_gamma1_epsm0.5_caln64_calseed42_pct25.6_seed42,safe_low_rank_adam_reference_constrained_greedy_eta0.0002_refreference_ac853aff3da5_metricFplusAlpha_swaps1_feastol1e-06_gamma1_epsm0.5_caln64_calseed42,adam,adamw,full,42,1.5283054962392304,0.1047182373046875,1.5030430555343628,0.0052648186683654785,0.40625,0.40625,,0.3401179898857842,,0.5263157894736842,,0.010101010101010102,,0.15392019029788415,,0.52734375,,0.52734375,,0.6041666666666666,,0.531496062992126,,0.15525056113176075,,8.820009275864787e-09,4.756894316947536e-09,1.128340813375909e-08,1.2454076411772317,1.2362744739240799,1294.1641779930214,1.2194647446336307e+17,1867793520.0,0.0,1.2194647633115659e+17,157332676608.0,1.001670736908288e+16,1.3196318370023947e+17,True,,,,,
setting_2_medqa_medmcqa_full_sft_solver_sweep_v1,setting_2_medqa_medmcqa_full_sft_solver_sweep_v1/repeat_00/olmo7b_instruct/KR64_KT16/pct25.6/safe_corrected_full_sft_gamma0.01_epsm0.5/training_runs/safe_low_rank_adam_precondition_before_projection_reference_greedy_marginal_eta0.00032_refreference_ac853aff3da5_metricFplusAlpha_gamma0.01_epsm0.5_caln64_calseed42_pct25.6_seed42/summary.json,repeat_00,olmo7b_instruct,safe_corrected_full_sft_gamma0.01_epsm0.5,safe_low_rank_adam_precondition_before_projection_reference_greedy_marginal_eta0.00032_refreference_ac853aff3da5_metricFplusAlpha_gamma0.01_epsm0.5_caln64_calseed42_pct25.6_seed42,safe_low_rank_adam_precondition_before_projection_reference_greedy_marginal_eta0.00032_refreference_ac853aff3da5_metricFplusAlpha_gamma0.01_epsm0.5_caln64_calseed42,adam,adamw,full,42,0.08791602176769248,0.21691318359375,2.274202585220337,0.048443954437971115,0.37890625,0.37890625,,0.2641796161155388,,0.4421052631578947,,0.010101010101010102,,0.08625396907318289,,0.48046875,,0.52734375,,0.5875,,0.4645669291338583,,0.08400565155384469,,-1.2242382785561357e-10,6.73070342868794e-09,2.0470524534725123e-09,0.687084588096272,0.6775955668775305,2726.51665371703,1.2194647446336307e+17,143873136.0,0.0,1.2194647460723621e+17,240144187392.0,1.0016790180593664e+16,1.3196326478782987e+17,True,,,,,
setting_2_medqa_medmcqa_safe_full_grid_v1,setting_2_medqa_medmcqa_safe_full_grid_v1/repeat_00/olmo7b_instruct/KR64_KT16/pct25.6/safe_reference_precondsgd_rho1e-05_eps0.0001/training_runs/safe_low_rank_sgd_reference_greedy_marginal_cost1e-05_eps0.0001_pct25.6_seed42/summary.json,repeat_00,olmo7b_instruct,safe_reference_precondsgd_rho1e-05_eps0.0001,safe_low_rank_sgd_reference_greedy_marginal_cost1e-05_eps0.0001_pct25.6_seed42,safe_low_rank_sgd_reference_greedy_marginal_cost1e-05_eps0.0001,sgd,,,42,1e-05,0.0001,0.00038657174445688725,3.7306631384126376e-06,0.390625,0.390625,,0.264365206001953,,0.3894736842105263,,0.010101010101010102,,0.13925672779337966,,0.46484375,,,,,,,,,,,,,0.5204641964556005,0.5170644953413827,739.4382228989998,,,,1.1295337162683187e+17,3044825590284288.0,1.147713096183808e+16,1.2443050258866995e+17,,,,,,"{""spearman_predicted_fisher_vs_realized_kl"":0.9191176470588237,""spearman_predicted_fisher_vs_target_degradation"":-0.41666666666666674,""spearman_realized_kl_vs_instruction_degradation"":-0.22360679774997896,""spearman_realized_kl_vs_medqa_accuracy"":-0.20519567041703082,""spearman_realized_kl_vs_reference_degradation"":0.31622776601683794,""spearman_realized_kl_vs_target_degradation"":-0.33333333333333337,""spearman_realized_kl_vs_target_performance"":0.33333333333333337,""trajectory_point_count"":17}"
setting_2_medqa_medmcqa_selector_trajectory_sweep_sgd_v1,setting_2_medqa_medmcqa_selector_trajectory_sweep_sgd_v1/repeat_01/olmo7b_instruct/KR64_KT16/pct25.6/safe_sgd_greedy_gamma0.01_epsm0.5/training_runs/safe_low_rank_sgd_reference_greedy_marginal_eta0.0002_metricFplusAlpha_gamma0.01_epsm0.5_caln64_calseed43_pct25.6_seed43/summary.json,repeat_01,olmo7b_instruct,safe_sgd_greedy_gamma0.01_epsm0.5,safe_low_rank_sgd_reference_greedy_marginal_eta0.0002_metricFplusAlpha_gamma0.01_epsm0.5_caln64_calseed43_pct25.6_seed43,safe_low_rank_sgd_reference_greedy_marginal_eta0.0002_metricFplusAlpha_gamma0.01_epsm0.5_caln64_calseed43,sgd,,,43,5.494411903567145e-06,0.002153972339630127,0.00036431325133889914,3.4697081900958437e-06,0.38671875,0.38671875,0.015625,0.26740586324558824,-0.14159441005946893,0.37623762376237624,-0.18811881188118806,0.021052631578947368,0.021052631578947368,0.1585741027288003,-0.09507000823774975,0.48046875,-0.09765625,,,,,,,,,,,,0.49420796945521245,0.4823684694021589,765.6395336710266,1.2194647446336307e+17,143873136.0,0.0,1.2194647460723621e+17,3208094147887104.0,1.1465160151097344e+16,1.3341163475833355e+17,True,,,False,True,"{""spearman_predicted_fisher_vs_realized_kl"":0.9975490196078433,""spearman_predicted_fisher_vs_target_degradation"":-0.6642156862745099,""spearman_realized_kl_vs_instruction_degradation"":-0.8660254037844386,""spearman_realized_kl_vs_medqa_accuracy"":-0.09999999999999998,""spearman_realized_kl_vs_reference_degradation"":0.0,""spearman_realized_kl_vs_target_degradation"":-0.6838235294117648,""spearman_realized_kl_vs_target_performance"":0.6838235294117648,""trajectory_point_count"":17}"
setting_2_medqa_medmcqa_selector_trajectory_sweep_sgd_v1,setting_2_medqa_medmcqa_selector_trajectory_sweep_sgd_v1/repeat_00/olmo7b_instruct/KR64_KT16/pct25.6/safe_sgd_greedy_gamma0.01_epsm0.5/training_runs/safe_low_rank_sgd_reference_greedy_marginal_eta0.0002_metricFplusAlpha_gamma0.01_epsm0.5_caln64_calseed42_pct25.6_seed42/summary.json,repeat_00,olmo7b_instruct,safe_sgd_greedy_gamma0.01_epsm0.5,safe_low_rank_sgd_reference_greedy_marginal_eta0.0002_metricFplusAlpha_gamma0.01_epsm0.5_caln64_calseed42_pct25.6_seed42,safe_low_rank_sgd_reference_greedy_marginal_eta0.0002_metricFplusAlpha_gamma0.01_epsm0.5_caln64_calseed42,sgd,,,42,7.830998687990481e-06,0.002178925609588623,0.00043506803922355175,3.6479705158853903e-06,0.4140625,0.4140625,-0.0078125,0.2945955636952963,-0.12033711140853431,0.45263157894736844,-0.13684210526315782,0.010101010101010102,0.0,0.13655954844322424,-0.10383211755391081,0.52734375,0.03515625,,,,,,,,,,,,0.5229456742086745,0.5124317807389953,752.5995347459684,1.2194647446336307e+17,143873136.0,0.0,1.2194647460723621e+17,3106591648481280.0,1.1538897020035072e+16,1.3348537162727128e+17,True,,,False,True,"{""spearman_predicted_fisher_vs_realized_kl"":0.931372549019608,""spearman_predicted_fisher_vs_target_degradation"":0.06617647058823531,""spearman_realized_kl_vs_instruction_degradation"":-0.6668859288553503,""spearman_realized_kl_vs_medqa_accuracy"":0.33541019662496846,""spearman_realized_kl_vs_reference_degradation"":0.09999999999999998,""spearman_realized_kl_vs_target_degradation"":0.17401960784313728,""spearman_realized_kl_vs_target_performance"":-0.17401960784313728,""trajectory_point_count"":17}"
setting_2_medqa_medmcqa_selector_trajectory_sweep_sgd_v1,setting_2_medqa_medmcqa_selector_trajectory_sweep_sgd_v1/repeat_03/olmo7b_instruct/KR64_KT16/pct25.6/safe_sgd_greedy_gamma0.01_epsm0.5/training_runs/safe_low_rank_sgd_reference_greedy_marginal_eta0.0002_metricFplusAlpha_gamma0.01_epsm0.5_caln64_calseed45_pct25.6_seed45/summary.json,repeat_03,olmo7b_instruct,safe_sgd_greedy_gamma0.01_epsm0.5,safe_low_rank_sgd_reference_greedy_marginal_eta0.0002_metricFplusAlpha_gamma0.01_epsm0.5_caln64_calseed45_pct25.6_seed45,safe_low_rank_sgd_reference_greedy_marginal_eta0.0002_metricFplusAlpha_gamma0.01_epsm0.5_caln64_calseed45,sgd,,,45,4.454684102693863e-06,0.0021372634887695313,0.0003591691784095019,3.405930328881368e-06,0.3671875,0.3671875,-0.03125,0.2729916402217088,-0.11569738989256423,0.37373737373737376,-0.14141414141414138,0.010309278350515464,-0.010309278350515464,0.17224590670604384,-0.08998063837098713,0.421875,-0.10546875,,,,,,,,,,,,0.5240696504706247,0.5170881582800085,789.0642979579861,1.2194647446336307e+17,143873136.0,0.0,1.2194647460723621e+17,3236857345916928.0,1.1253675828011008e+16,1.3320015043524722e+17,True,,,False,True,"{""spearman_predicted_fisher_vs_realized_kl"":0.8039215686274511,""spearman_predicted_fisher_vs_target_degradation"":-0.5514705882352942,""spearman_realized_kl_vs_instruction_degradation"":-0.7071067811865475,""spearman_realized_kl_vs_medqa_accuracy"":0.28867513459481287,""spearman_realized_kl_vs_reference_degradation"":0.15389675281277312,""spearman_realized_kl_vs_target_degradation"":-0.3308823529411765,""spearman_realized_kl_vs_target_performance"":0.3308823529411765,""trajectory_point_count"":17}"
setting_2_medqa_medmcqa_selector_trajectory_sweep_sgd_v1,setting_2_medqa_medmcqa_selector_trajectory_sweep_sgd_v1/repeat_02/olmo7b_instruct/KR64_KT16/pct25.6/safe_sgd_greedy_gamma0.01_epsm0.5/training_runs/safe_low_rank_sgd_reference_greedy_marginal_eta0.0002_metricFplusAlpha_gamma0.01_epsm0.5_caln64_calseed44_pct25.6_seed44/summary.json,repeat_02,olmo7b_instruct,safe_sgd_greedy_gamma0.01_epsm0.5,safe_low_rank_sgd_reference_greedy_marginal_eta0.0002_metricFplusAlpha_gamma0.01_epsm0.5_caln64_calseed44_pct25.6_seed44,safe_low_rank_sgd_reference_greedy_marginal_eta0.0002_metricFplusAlpha_gamma0.01_epsm0.5_caln64_calseed44,sgd,,,44,5.810641520145387e-06,0.0022256103515625,0.000397013733163476,3.592881967051653e-06,0.46875,0.46875,0.0390625,0.27854134206857845,-0.12537612221188005,0.44,-0.11000000000000004,0.0,-0.031914893617021274,0.11708268413715689,-0.14075224442376005,0.48828125,-0.04296875,,,,,,,,,,,,0.49784715180362155,0.48645310705823597,709.8286509219906,1.2194647446336307e+17,143873136.0,0.0,1.2194647460723621e+17,3236358562136064.0,1.1295809202388992e+16,1.332422838096252e+17,True,,,False,True,"{""spearman_predicted_fisher_vs_realized_kl"":0.9950980392156864,""spearman_predicted_fisher_vs_target_degradation"":-0.715686274509804,""spearman_realized_kl_vs_instruction_degradation"":0.28867513459481287,""spearman_realized_kl_vs_medqa_accuracy"":0.872081599272381,""spearman_realized_kl_vs_reference_degradation"":0.10540925533894598,""spearman_realized_kl_vs_target_degradation"":-0.7181372549019609,""spearman_realized_kl_vs_target_performance"":0.7181372549019609,""trajectory_point_count"":17}"
