experiment_id,run_status,seed,method_family,method_variant,selector_solver,selector_feature_method,selector_preconditioner,adam_selection_mode,training_optimizer,reference_composition,included_references,safe_geometry,safe_training_constraint_mode,safe_epsilon_multiplier,safe_cost_gamma,kl_regularization_lambda,learning_rate,weight_decay,sgd_momentum,selection_method_raw,summary_path,target_medqa_accuracy,base_target_medqa_accuracy,medqa_gain,ood_mcq_ood_accuracy,base_ood_mcq_ood_accuracy,ood_mcq_ood_accuracy_delta,bbq_score,bbq_base_score,bbq_score_delta,bbq_heldout_kl,truthfulqa_score,truthfulqa_base_score,truthfulqa_score_delta,truthfulqa_heldout_kl,mmlu_non_medical_score,mmlu_non_medical_base_score,mmlu_non_medical_score_delta,mmlu_non_medical_heldout_kl,ifeval_score,ifeval_base_score,ifeval_score_delta,mean_reference_score_delta,included_reference_score_delta,mean_reference_kl,worst_reference_kl,realized_heldout_kl,reference_performance_degradation,instruction_performance_degradation,safe_epsilon,safe_rho,safe_reference_curvature_q0,safe_effective_cost_c,safe_approximation_error,safe_approximation_error_squared,safe_selected_reference_budget_gap,safe_selected_epsilon_budget_gap,safe_trace_max_reference_budget_ratio,safe_trace_max_norm_budget_ratio,safe_trace_final_approximation_error,selected_predicted_fisher_cost,selected_predicted_norm_cost,trained_lora_fisher_cost,max_incremental_reference_budget_ratio,max_cumulative_reference_budget_ratio,max_incremental_norm_budget_ratio,max_cumulative_norm_budget_ratio,trajectory_spearman_predicted_fisher_vs_realized_kl,trajectory_spearman_realized_kl_vs_medqa_accuracy,trajectory_spearman_realized_kl_vs_reference_degradation,estimated_selection_flops,estimated_sft_flops,estimated_kl_regularization_flops,estimated_trajectory_diagnostic_flops,estimated_trajectory_generation_flops,estimated_extra_eval_kl_flops,estimated_total_flops,estimated_total_flops_including_selection,train_wallclock_seconds,completed_steps,safe_selected_reference_budget_satisfied,safe_selected_epsilon_budget_satisfied,safe_trace_all_reference_budget_satisfied,safe_trace_all_norm_budget_satisfied,all_incremental_reference_constraints_satisfied,all_incremental_norm_constraints_satisfied,all_cumulative_reference_constraints_satisfied,all_cumulative_norm_constraints_satisfied,flops_accounting_complete
setting_2_medqa_medmcqa_reference_coverage_gamma_v1,derived_from_base_evaluation,42,Base,Base model,none,none,none,none,none,all,"bbq,truthfulqa,mmlu_non_medical",none,none,,,0.0,,,,base_model,/workspace/safe-drift/outputs/setting_2_medqa_medmcqa_reference_coverage_gamma_v1/repeat_00/olmo7b_instruct/KR64_KT16/pct25.6/baseline_less_no_reference/training_runs/less_random_sketch_sgd_pct25.6_seed42/summary.json,0.4140625,0.4140625,0.0,0.5,0.5,0.0,0.5826771653543307,0.5826771653543307,0.0,0.0,0.24156189185351593,0.24156189185351593,0.0,0.0,0.53515625,0.53515625,0.0,0.0,0.5234375,0.5234375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,
setting_2_medqa_medmcqa_reference_coverage_gamma_v1,derived_from_base_evaluation,43,Base,Base model,none,none,none,none,none,all,"bbq,truthfulqa,mmlu_non_medical",none,none,,,0.0,,,,base_model,/workspace/safe-drift/outputs/setting_2_medqa_medmcqa_reference_coverage_gamma_v1/repeat_01/olmo7b_instruct/KR64_KT16/pct25.6/baseline_less_no_reference/training_runs/less_random_sketch_sgd_pct25.6_seed43/summary.json,0.37109375,0.37109375,0.0,0.55078125,0.55078125,0.0,0.5590551181102362,0.5590551181102362,0.0,0.0,0.2548059308998715,0.2548059308998715,0.0,0.0,0.52734375,0.52734375,0.0,0.0,0.5125628140703518,0.5125628140703518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,
setting_2_medqa_medmcqa_reference_coverage_gamma_v1,derived_from_base_evaluation,44,Base,Base model,none,none,none,none,none,all,"bbq,truthfulqa,mmlu_non_medical",none,none,,,0.0,,,,base_model,/workspace/safe-drift/outputs/setting_2_medqa_medmcqa_reference_coverage_gamma_v1/repeat_02/olmo7b_instruct/KR64_KT16/pct25.6/baseline_less_no_reference/training_runs/less_random_sketch_sgd_pct25.6_seed44/summary.json,0.43359375,0.43359375,0.0,0.55078125,0.55078125,0.0,0.5787401574803149,0.5787401574803149,0.0,0.0,0.2539129749412385,0.2539129749412385,0.0,0.0,0.546875,0.546875,0.0,0.0,0.4975124378109453,0.4975124378109453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,3.0252009834676224e+16,3.0252009834676224e+16,0.0,0.0,,,,,,,,,
setting_2_medqa_medmcqa_reference_coverage_gamma_v1,complete,42,LESS,LESS,cosine_topk,random_sketch,sgd,none,adamw,,"bbq,truthfulqa,mmlu_non_medical",,none,,,0.0,0.0002,0.0,,less_random_sketch_sgd,/workspace/safe-drift/outputs/setting_2_medqa_medmcqa_reference_coverage_gamma_v1/repeat_00/olmo7b_instruct/KR64_KT16/pct25.6/baseline_less_no_reference/training_runs/less_random_sketch_sgd_pct25.6_seed42/summary.json,0.4296875,0.4140625,0.015625,0.58203125,0.5,0.08203125,0.610236220472441,0.5826771653543307,0.0275590551181103,11.722868621505777,0.18703903819688256,0.24156189185351593,-0.05452285365663337,2.0879136019507802,0.578125,0.53515625,0.04296875,13.889920632044474,0.5208333333333334,0.5234375,-0.0026041666666666297,0.00533498382049231,0.00533498382049231,9.233567618500343,13.889920632044474,5.2816601734535364,0.053600134677515676,-0.050000000000000044,,,,,,,,,,,,,,0.0011286340886726975,,,,,0.9681372549019609,0.7905694150420948,0.6668859288553503,1.1295337162683187e+17,3466464146374656.0,0.0,4994557534576640.0,3832507489320960.0,1874263187226624.0,1.416779235749888e+16,1.2712116398433075e+17,693.5179660599679,64.0,,,,,True,True,True,True,True
setting_2_medqa_medmcqa_reference_coverage_gamma_v1,complete,43,LESS,LESS,cosine_topk,random_sketch,sgd,none,adamw,,"bbq,truthfulqa,mmlu_non_medical",,none,,,0.0,0.0002,0.0,,less_random_sketch_sgd,/workspace/safe-drift/outputs/setting_2_medqa_medmcqa_reference_coverage_gamma_v1/repeat_01/olmo7b_instruct/KR64_KT16/pct25.6/baseline_less_no_reference/training_runs/less_random_sketch_sgd_pct25.6_seed43/summary.json,0.390625,0.37109375,0.01953125,0.56640625,0.55078125,0.015625,0.547244094488189,0.5590551181102362,-0.011811023622047223,11.57765195250824,0.22919710823888392,0.2548059308998715,-0.0256088226609876,1.9704844679829396,0.546875,0.52734375,0.01953125,13.790105412403742,0.5452261306532663,0.5125628140703518,0.03266331658291455,-0.005962865427678275,-0.005962865427678275,9.112747277631641,13.790105412403742,5.590003763635953,-0.010814076463395328,0.08333333333333337,,,,,,,,,,,,,,0.0010980252409353852,,,,,0.9779411764705884,0.22360679774997896,-0.7826237921249264,1.1295337162683187e+17,3493149078650880.0,0.0,4793409119838208.0,3832507489320960.0,1888146002460672.0,1.400721169027072e+16,1.269605833171026e+17,659.791976550594,64.0,,,,,True,True,True,True,True
setting_2_medqa_medmcqa_reference_coverage_gamma_v1,complete,44,LESS,LESS,cosine_topk,random_sketch,sgd,none,adamw,,"bbq,truthfulqa,mmlu_non_medical",,none,,,0.0,0.0002,0.0,,less_random_sketch_sgd,/workspace/safe-drift/outputs/setting_2_medqa_medmcqa_reference_coverage_gamma_v1/repeat_02/olmo7b_instruct/KR64_KT16/pct25.6/baseline_less_no_reference/training_runs/less_random_sketch_sgd_pct25.6_seed44/summary.json,0.43359375,0.43359375,0.0,0.63671875,0.55078125,0.0859375,0.6299212598425197,0.5787401574803149,0.051181102362204745,11.889568436489956,0.1443900309493467,0.2539129749412385,-0.1095229439918918,2.244100844183049,0.58984375,0.546875,0.04296875,13.350073404610157,0.4925373134328358,0.4975124378109453,-0.004975124378109486,-0.005124363876562353,-0.005124363876562353,9.161247561761053,13.350073404610157,5.328156480422387,0.008096890854243755,-0.09523809523809523,,,,,,,,,,,,,,0.001102117239497602,,,,,0.8750000000000001,0.8944271909999159,0.7826237921249264,1.1295337170877445e+17,3469373718429696.0,0.0,4549157473370112.0,3832507489320960.0,1872988517564416.0,4.618574136926208e+16,1.5913911307803654e+17,664.7381874229759,64.0,,,,,True,True,True,True,True
setting_2_medqa_medmcqa_reference_coverage_gamma_v1,complete,42,SAFE,SAFE-(B_K),constrained_greedy,low_rank,adam,post_projection,adamw,B_K,"bbq,mmlu_non_medical",reference,none,0.5,0.01,0.0,0.0002,0.0,,safe_low_rank_adam_reference_constrained_greedy_eta0.0002_metricFplusAlpha_swaps1_feastol1e-06_gamma0.01_epsm0.5_caln64_calseed42,/workspace/safe-drift/outputs/setting_2_medqa_medmcqa_reference_coverage_gamma_v1/repeat_00/olmo7b_instruct/KR64_KT16/pct25.6/safe_reference_hard_constrained_precondadam_refB_K_gamma0.01_epsm0.5/training_runs/safe_low_rank_adam_reference_constrained_greedy_eta0.0002_metricFplusAlpha_swaps1_feastol1e-06_gamma0.01_epsm0.5_caln64_calseed42_pct25.6_seed42/summary.json,0.46875,0.4140625,0.0546875,0.53515625,0.5,0.03515625,0.5433070866141733,0.5826771653543307,-0.03937007874015741,9.077723495603546,0.22978339100520084,0.24156189185351593,-0.011778500848315082,1.216956816988471,0.58203125,0.53515625,0.046875,11.35338701059421,0.5390625,0.5234375,0.015625,-0.001424526529490831,0.003752460629921295,7.2160224410620755,11.35338701059421,3.959610999799242,0.11944285541937605,0.04999999999999999,0.10454075317382813,0.014282104843543824,261.36712646484375,0.014282104843543824,0.39910137742908103,0.1592819094657898,0.00194767145930415,0.00531089765823165,0.9998699532362192,0.02868666387848509,0.39910137742908103,0.012334433384239674,0.00015348687884397805,0.0001531237649032846,0.0019047832718151827,0.010721372415390416,65.21574752648618,430.01537280612064,0.9999999999999998,,,1.2194647633115659e+17,266932453392384.0,0.0,881392506101760.0,1533002995728384.0,1874263187226624.0,3.701730531302605e+16,1.5896378164418266e+17,107.83662445656955,6.0,True,True,True,True,True,False,True,False,True
setting_2_medqa_medmcqa_reference_coverage_gamma_v1,complete,42,SAFE,SAFE-(B_K),constrained_greedy,low_rank,adam,post_projection,adamw,B_K,"bbq,mmlu_non_medical",reference,none,0.5,0.1,0.0,0.0002,0.0,,safe_low_rank_adam_reference_constrained_greedy_eta0.0002_metricFplusAlpha_swaps1_feastol1e-06_gamma0.1_epsm0.5_caln64_calseed42,/workspace/safe-drift/outputs/setting_2_medqa_medmcqa_reference_coverage_gamma_v1/repeat_00/olmo7b_instruct/KR64_KT16/pct25.6/safe_reference_hard_constrained_precondadam_refB_K_gamma0.1_epsm0.5/training_runs/safe_low_rank_adam_reference_constrained_greedy_eta0.0002_metricFplusAlpha_swaps1_feastol1e-06_gamma0.1_epsm0.5_caln64_calseed42_pct25.6_seed42/summary.json,0.4296875,0.4140625,0.015625,0.5,0.5,0.0,0.5118110236220472,0.5826771653543307,-0.07086614173228345,9.702676845660672,0.18863146604222883,0.24156189185351593,-0.052930425811287096,1.5153157154515324,0.54296875,0.53515625,0.0078125,11.94929285099109,0.5338541666666666,0.5234375,0.01041666666666663,-0.03866135584785685,-0.031526820866141725,7.722428470701099,11.94929285099109,4.297385122261796,0.17617604051552566,0.04999999999999999,0.10454075317382813,0.14282104843543825,261.36712646484375,0.14282104843543825,0.8101462235745363,0.6563369035720825,0.0065094428627377465,0.0048209313255520355,0.9999759701194724,0.12052160170422671,0.8101462603608852,0.1363116055727005,0.0006434532115235925,0.00031802471494302154,0.0001921429793782085,0.00222673561374102,65.81961112991661,951.8568888836098,0.9999999999999998,,,1.2194647633115659e+17,505434231275520.0,0.0,1175190008135680.0,1533002995728384.0,1874263187226624.0,3.75496045929431e+16,1.594960809240997e+17,138.0870929788798,10.0,True,True,True,True,True,False,True,False,True
setting_2_medqa_medmcqa_reference_coverage_gamma_v1,complete,42,SAFE,SAFE-(B_K),constrained_greedy,low_rank,adam,post_projection,adamw,B_K,"bbq,mmlu_non_medical",reference,none,0.5,1.0,0.0,0.0002,0.0,,safe_low_rank_adam_reference_constrained_greedy_eta0.0002_metricFplusAlpha_swaps1_feastol1e-06_gamma1_epsm0.5_caln64_calseed42,/workspace/safe-drift/outputs/setting_2_medqa_medmcqa_reference_coverage_gamma_v1/repeat_00/olmo7b_instruct/KR64_KT16/pct25.6/safe_reference_hard_constrained_precondadam_refB_K_gamma1_epsm0.5/training_runs/safe_low_rank_adam_reference_constrained_greedy_eta0.0002_metricFplusAlpha_swaps1_feastol1e-06_gamma1_epsm0.5_caln64_calseed42_pct25.6_seed42/summary.json,0.484375,0.4140625,0.0703125,0.5625,0.5,0.0625,0.5551181102362205,0.5826771653543307,-0.027559055118110187,11.640869218220548,0.13731383033288697,0.24156189185351593,-0.10424806152062896,2.2303866330189264,0.61328125,0.53515625,0.078125,13.707321770489216,0.5390625,0.5234375,0.015625,-0.017894038879579716,0.025282972440944906,9.192859207242897,13.707321770489216,5.378180354249244,0.18865551506396572,-0.09999999999999998,0.10454075317382813,1.4282104843543824,261.36712646484375,1.4282104843543824,1.5279577245606089,2.3346548080444336,0.03431235489118656,0.0001487021519588124,0.9936476242529689,0.9855880611091219,1.527957490504463,1.3938981294631958,0.005315682385116816,0.0008815315086394548,1.8930760811178028e-05,0.000617228005463038,69.44986103230703,2829.16408939317,0.9999999999999999,,0.9999999999999998,1.2194647633115659e+17,2049003771789312.0,0.0,2644177518305280.0,2299504493592576.0,1874263187226624.0,4.132866314149069e+16,1.632751394726473e+17,327.3320782314986,32.0,True,True,True,True,True,False,True,False,True
setting_2_medqa_medmcqa_reference_coverage_gamma_v1,complete,42,SAFE,SAFE-(B_K),constrained_greedy,low_rank,adam,post_projection,adamw,B_K,"bbq,mmlu_non_medical",reference,none,1.0,0.01,0.0,0.0002,0.0,,safe_low_rank_adam_reference_constrained_greedy_eta0.0002_metricFplusAlpha_swaps1_feastol1e-06_gamma0.01_epsm1_caln64_calseed42,/workspace/safe-drift/outputs/setting_2_medqa_medmcqa_reference_coverage_gamma_v1/repeat_00/olmo7b_instruct/KR64_KT16/pct25.6/safe_reference_hard_constrained_precondadam_refB_K_gamma0.01_epsm1/training_runs/safe_low_rank_adam_reference_constrained_greedy_eta0.0002_metricFplusAlpha_swaps1_feastol1e-06_gamma0.01_epsm1_caln64_calseed42_pct25.6_seed42/summary.json,0.43359375,0.4140625,0.01953125,0.5390625,0.5,0.0390625,0.547244094488189,0.5826771653543307,-0.03543307086614167,9.767626351884656,0.19320158118341937,0.24156189185351593,-0.04836031067009655,1.5142464082770453,0.58203125,0.53515625,0.046875,12.015184817214807,0.5286458333333334,0.5234375,0.00520833333333337,-0.012306127178746074,0.005720964566929165,7.765685859125504,12.015184817214807,4.321388113732431,0.10732217932295474,0.04999999999999999,0.20908150634765627,0.057128419374175295,261.36712646484375,0.057128419374175295,0.8075778863977916,0.6521820425987244,0.004785613362736925,0.021407109514817522,0.9999605938240664,0.02092658892307292,0.8075779233011321,0.05234280601143837,0.0004504286334849894,0.0003083790361415595,0.0004760267456455008,0.005397996995536711,16.391899085377172,229.83098595401472,0.9999999999999998,,,1.2194647633115659e+17,440509209133056.0,0.0,1175190008135680.0,1533002995728384.0,1874263187226624.0,3.748467957080064e+16,1.5943115590195725e+17,138.80518341995776,10.0,True,True,True,True,True,False,True,False,True
